Eval num episodes,Eval avg final dist,Eval success ratio,Eval final l2 distance Mean,Eval final l2 distance Std,Eval final l2 distance Max,Eval final l2 distance Min,Eval final shaped distance Mean,Eval final shaped distance Std,Eval final shaped distance Max,Eval final shaped distance Min,Eval l2 distance Mean,Eval l2 distance Std,Eval l2 distance Max,Eval l2 distance Min,Eval shaped_distances Mean,Eval shaped_distances Std,Eval shaped_distances Max,Eval shaped_distances Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.20388248317862587,0.68,0.20388248317862587,0.29339241186539017,0.9126071012148358,0.0037837412890598726,0.26019171370763056,0.3604936352235556,1.0994302014081039,0.0037837412890598726,0.28152330859407904,0.3053160956639504,1.0604265189564854,0.0019411669850677698,0.33903342002213,0.361431540380368,1.1581205951168647,0.0019411669850677698,0.003927023849744945,0.0019033027828718925,0.0020237210663853564,0.03473281670493637,0.01682318126834441,0.017909636257850844,32000,37.08464074134827,583.2876613140106
50,0.1881724642572851,0.64,0.1881724642572851,0.26382382693094475,1.0337453004245982,0.006270817543939462,0.24981447013133615,0.3287191308903518,1.1302518979965268,0.006270817543939462,0.26480466110940876,0.28954985861905713,1.2186734838002928,0.0047264800343743306,0.32540712869451127,0.3394922687912293,1.33951518470531,0.0047264800343743306,0.0044665233708382265,0.0021655544596388297,0.002300968915981648,0.022986174484263638,0.01116928784162944,0.011816886681057405,34000,37.06811285018921,620.3557798862457
50,0.2830050834514972,0.5,0.2830050834514972,0.29314674414954034,0.92379255465558,0.003838228386834476,0.35418995343248766,0.36695508814443784,1.0374828162374774,0.003838228386834476,0.33472816920471404,0.2941956317124629,1.0678587860233522,0.0019370041038476208,0.4046525395110025,0.3589539865346853,1.1475305966460068,0.0019370041038476208,0.007543129052621846,0.0036654774404775905,0.003877651657723882,0.03357457169267689,0.016296792225582807,0.017277779860028042,36000,36.537659883499146,656.893444776535
50,0.20897428480800462,0.52,0.20897428480800462,0.2360853475913692,0.742907038922187,0.007672966624231575,0.3083894459468153,0.3231674901027653,1.0663434431645447,0.007672966624231575,0.2718690528268589,0.2667812914324261,1.072648384041541,0.0018197833459333854,0.35958917998421414,0.32625900571656935,1.1556786503307213,0.0018197833459333854,0.015162200577527162,0.007344600427965658,0.007817600274480542,0.027176591490738505,0.013175301502787912,0.0140012900524464,38000,37.08246350288391,693.9759130477905
50,0.18899282341377982,0.58,0.18899282341377982,0.2307420246137841,0.8722320493564354,0.0025560645927555034,0.23554180358315627,0.2851035779888768,1.105772700498652,0.0025560645927555034,0.25277361520897623,0.2547876138198215,1.0713286839999892,0.0025560601320273927,0.29448290669696703,0.2931023966524829,1.1819735030518057,0.0025560601320273927,0.006355264516964164,0.00308231309698295,0.003272951495531451,0.019671698802555992,0.009538336452532855,0.0101333622221517,40000,36.50249791145325,730.4784162044525
50,0.17221488109358493,0.72,0.17221488109358493,0.2617596750998641,0.7779869046903108,0.0008692273195887513,0.2150981386574161,0.3276706207627616,1.0490963799464497,0.0008692273195887513,0.2597320579599911,0.3016881127303317,1.2012480877592826,0.0005075747625505265,0.30067491967922944,0.3496135083978478,1.3227914651976476,0.0005075747625505265,0.01657208112917582,0.008022031034521978,0.00855004970264439,0.01968095203064206,0.009522610744993108,0.010158341480530192,42000,37.025333881378174,767.503755569458
50,0.19622069983980392,0.56,0.19622069983980392,0.23058794749101896,0.9367429800668301,0.00440541947818315,0.30062273656131727,0.3414118280089849,1.137725419120483,0.00440541947818315,0.27513481431692083,0.2699401165779412,1.1848702450189166,0.0013672019043289322,0.3638055467245901,0.34380646486630334,1.3054975425519313,0.0013672019043289322,0.011864813381025003,0.005729321881707394,0.006135491494788596,0.028032417755063287,0.013612487861433126,0.01441992948189597,44000,37.09099364280701,804.5947544574738
50,0.2131538447440076,0.54,0.2131538447440076,0.23393369316128637,0.7514517706417474,0.007547723557606465,0.2638040598674422,0.2848005188182442,0.8911314748725407,0.007547723557606465,0.2666181671664649,0.24737509332118224,1.0413607146458919,0.001145617640330259,0.3164443710066521,0.29054178984387385,1.1777122160295728,0.001145617640330259,0.007587155543684873,0.003654329197113596,0.003932826346469842,0.02805439263662654,0.013542331921221609,0.014512061399736495,46000,36.93301963806152,841.5277800559998
50,0.21603667289287684,0.56,0.21603667289287684,0.2515011637037714,0.79204587946529,0.0052205060688531165,0.2791028936569237,0.3228026593780034,0.9428954710657935,0.0052205060688531165,0.2707070483232457,0.26939703668908876,1.0252551052348455,0.0012144509620387223,0.3320340858027438,0.32863380454728025,1.1391517124624428,0.0012144509620387223,0.016606656497713895,0.008023804034504433,0.008582852435021153,0.023014002659750447,0.01111958408218946,0.011894417894943023,48000,36.96507024765015,878.4928557872772
50,0.16802403924471862,0.62,0.16802403924471862,0.2134187026918716,0.7413131558197761,0.000990424514888661,0.22593370210180586,0.2788546289656804,0.8732440474574481,0.000990424514888661,0.233006774506481,0.25002567655512564,1.1452575975688915,0.0004845737136876804,0.29070606443018143,0.30160087069736824,1.2768077600849537,0.0004845737136876804,0.014947922325987168,0.007255609808466643,0.007692312817492898,0.02017235601634652,0.00976943303608121,0.010402922723672282,50000,36.884026765823364,915.3768877983093
